,index,dep,indice_de_gravite
0,13,2146,3.3316297176299323
1,97,1568,3.1953460583484197
2,93,1474,3.1684974835230326
3,69,1288,3.1099158630237933
4,59,1286,3.109240968588203
5,75,961,2.9827233876685453
6,06,961,2.9827233876685453
7,83,949,2.977266212427293
8,33,863,2.9360107957152097
9,77,818,2.912753303671323
10,34,806,2.906335041805091
11,62,803,2.904715545278681
12,94,785,2.8948696567452528
13,38,723,2.859138297294531
14,92,709,2.8506462351830666
15,44,708,2.850033257689769
16,76,629,2.798650645445269
17,31,614,2.788168371141168
18,78,614,2.788168371141168
19,30,587,2.7686381012476144
20,29,571,2.756636108245848
21,37,534,2.727541257028556
22,91,528,2.722633922533812
23,95,523,2.718501688867274
24,74,521,2.7168377232995247
25,35,513,2.7101173651118162
26,01,512,2.709269960975831
27,17,505,2.7032913781186614
28,49,502,2.7007037171450192
29,42,490,2.690196080028514
30,57,487,2.6875289612146345
31,64,484,2.6848453616444123
32,67,470,2.6720978579357175
33,14,470,2.6720978579357175
34,60,466,2.66838591669
35,68,464,2.6665179805548807
36,63,448,2.651278013998144
37,56,435,2.6384892569546374
38,85,430,2.6334684555795866
39,26,425,2.6283889300503116
40,71,419,2.622214022966295
41,22,410,2.6127838567197355
42,27,397,2.598790506763115
43,45,394,2.595496221825574
44,80,392,2.593286067020457
45,20,380,2.57978359661681
46,51,378,2.5774917998372255
47,50,375,2.574031267727719
48,84,371,2.569373909615046
49,25,343,2.5352941200427703
50,11,334,2.5237464668115646
51,24,333,2.5224442335063197
52,72,331,2.519827993775719
53,02,330,2.5185139398778875
54,54,324,2.510545010206612
55,28,311,2.4927603890268375
56,41,298,2.4742162640762553
57,86,296,2.4712917110589387
58,79,294,2.4683473304121573
59,03,283,2.45178643552429
60,47,278,2.444044795918076
61,66,277,2.4424797690644486
62,40,275,2.439332693830263
63,73,272,2.4345689040341987
64,61,272,2.4345689040341987
65,21,268,2.428134794028789
66,12,263,2.419955748489758
67,89,262,2.4183012913197452
68,88,261,2.416640507338281
69,87,255,2.406540180433955
70,07,251,2.399673721481038
71,81,239,2.3783979009481375
72,18,237,2.374748346010104
73,04,233,2.367355921026019
74,16,228,2.357934847000454
75,82,221,2.3443922736851106
76,10,215,2.3324384599156054
77,39,209,2.3201462861110542
78,53,198,2.296665190261531
79,32,196,2.292256071356476
80,05,185,2.2671717284030137
81,58,184,2.2648178230095364
82,70,181,2.2576785748691846
83,43,180,2.255272505103306
84,19,173,2.2380461031287955
85,09,151,2.1789769472931693
86,08,146,2.164352855784437
87,65,144,2.1583624920952498
88,52,141,2.1492191126553797
89,46,141,2.1492191126553797
90,36,136,2.1335389083702174
91,55,116,2.0644579892269186
92,15,113,2.0530784434834195
93,974,90,1.954242509439325
94,971,89,1.9493900066449128
95,988,81,1.9084850188786497
96,48,81,1.9084850188786497
97,23,76,1.8808135922807914
98,90,73,1.863322860120456
99,973,62,1.792391689498254
100,972,58,1.7634279935629373
101,987,42,1.6232492903979006
102,2B,41,1.6127838567197355
103,2A,41,1.6127838567197355
104,976,18,1.255272505103306
105,978,11,1.0413926851582251
106,977,3,0.47712125471966244
107,986,1,0.0
